,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ervid
ERVMER61-1,1.570561183,-0.900430236,0.983301598,-0.915721318,0.359813081,NA,ERVMER61-1
6132,7.724530476,0.344299657,0.398666171,0.863628974,0.387791742,NA,6132
6136,1.100375413,-0.302588647,0.855601218,-0.353656166,0.723596577,NA,6136
6135,1.180761204,1.348681355,0.755358139,1.785485964,0.074182526,NA,6135
6139,0.985159638,-0.074604459,0.755410336,-0.098760177,0.921328688,NA,6139
6143,49.48836239,-1.059395734,0.569131765,-1.861424363,0.062684273,NA,6143
6144,28.9789074,-0.002298001,0.209108578,-0.010989513,0.991231814,NA,6144
6145,1.194042825,-1.064136417,0.825064503,-1.289761484,0.197133485,NA,6145
6146,6.979768924,-0.77386698,0.505909486,-1.52965501,0.126102145,NA,6146
6148,55.16141998,-0.260592371,0.652885038,-0.399139751,0.689790234,NA,6148
ERVH1q31.3,2.391023035,-0.303580065,0.63942776,-0.474768354,0.634952091,NA,ERVH1q31.3
6152,1.856725969,-0.104457933,0.624100701,-0.167373523,0.867076157,NA,6152
6155,2.149318191,0.119206539,0.570041648,0.209118999,0.834355344,NA,6155
6157,4.572939825,1.780200051,0.551668109,3.226940296,0.001251216,NA,6157
6164,820.0801214,0.041962252,0.570545919,0.073547547,0.94137041,0.977482591,6164
ERVW-10,1705.264293,0.200556246,0.58388847,0.343483827,0.731234506,0.884283589,ERVW-10
6166,1048.229328,0.246558597,0.579164003,0.425714642,0.670315791,0.829914789,6166
6165,1399.211229,0.03406284,0.573052486,0.059441047,0.95260082,0.977482591,6165
6169,31.7121989,-0.417731643,0.308136524,-1.355670652,0.175203981,NA,6169
6171,78.19496176,0.210392859,0.34063098,0.617656265,0.536801947,NA,6171
6174,3.261440934,-0.594783817,0.52141182,-1.140717939,0.253987319,NA,6174
6176,528.4846264,-0.319721261,0.167660039,-1.906961629,0.056525557,0.21772807,6176
6177,19.49965453,0.005841245,0.403895758,0.014462258,0.98846119,NA,6177
6180,14.43962139,-0.12324873,0.265467196,-0.464271036,0.642453573,NA,6180
6181,31.31085503,-0.02260711,0.449996378,-0.050238428,0.959932389,NA,6181
W-5,9.578105303,0.132169315,0.252372207,0.523707884,0.600481731,NA,W-5
6183,16.13971006,0.290867501,0.21725802,1.338811341,0.180632098,NA,6183
6184,15.37541245,-0.028661051,0.224316177,-0.12777077,0.898330383,NA,6184
6185,7.590124038,0.025082842,0.251949339,0.099555102,0.92069754,NA,6185
6187,2.362511533,-0.080277322,0.550413708,-0.145849061,0.884040545,NA,6187
6188,8.219911121,-0.223816445,0.342529957,-0.653421518,0.51348457,NA,6188
6189,10.23095929,-0.284370301,0.393102915,-0.723399117,0.469434714,NA,6189
6191,2.324760676,-0.212249593,0.536444227,-0.39566013,0.692355772,NA,6191
6192,4.307841254,-0.147736394,0.46405315,-0.318360933,0.750211169,NA,6192
6193,5.423626539,-0.348470984,0.437053051,-0.797319646,0.425265413,NA,6193
6195,12.37417414,-0.224292965,0.30420375,-0.737311635,0.460932858,NA,6195
6196,6.114603065,0.424990433,0.439517009,0.966948775,0.333569642,NA,6196
6199,7.989761065,0.220199457,0.25392808,0.867172537,0.385847481,NA,6199
6203,31.33855757,-0.385515655,0.221996602,-1.736583583,0.082460699,NA,6203
6202,24.55974668,-0.352255403,0.224743449,-1.56736672,0.117028998,NA,6202
6205,104.6936156,0.022091403,0.271009935,0.081515103,0.935032314,NA,6205
6206,495.7326284,0.411789404,0.164897323,2.497247356,0.012516162,0.129828289,6206
6207,22.74910005,0.125902506,0.229352723,0.548947074,0.583041771,NA,6207
